Rank,University Name ,ranking-institution-title href,Location,sdg-score-multi__number,sdg-score-multi__value,sdg-score-multi__number 2,sdg-score-multi__value 2,sdg-score-multi__number 3,sdg-score-multi__value 3,sdg-score-multi__value 4,scores,sdg-score-multi__number 5,sdg-score-multi__value 5,sdg-score-multi__number 6,sdg-score-multi__value 6,sdg-score-multi__number 7,sdg-score-multi__value 7,sdg-score-multi__number 8,sdg-score-multi__value 8
1,Western Sydney University,https://www.timeshighereducation.com/world-university-rankings/western-sydney-university,Australia,5,80.3,12,93.4,15,96.7,98.8,99.4,,,,,,,,
2,University of Manchester,https://www.timeshighereducation.com/world-university-rankings/university-manchester,United Kingdom,15,97.4,12,92.9,11,92.2,94.8,97.5,,,,,,,,
3,Queen’s University,https://www.timeshighereducation.com/world-university-rankings/queens-university,Canada,2,90.6,16,93.4,11,91,92.6,97.2,,,,,,,,
4,Universiti Sains Malaysia,https://www.timeshighereducation.com/world-university-rankings/universiti-sains-malaysia,Malaysia,16,94.1,2,86.4,1,84.9,97.8,96.9,,,,,,,,
5,University of Tasmania,https://www.timeshighereducation.com/world-university-rankings/university-tasmania,Australia,13,92.8,15,96.2,14,95.1,96.3,96.6,,,,,,,,
6,Arizona State University (Tempe),https://www.timeshighereducation.com/world-university-rankings/arizona-state-university-tempe,United States,15,95.4,14,93.9,6,87.6,81.9–86.9,96.5,,,,,,,,
7,University of Alberta,https://www.timeshighereducation.com/world-university-rankings/university-alberta,Canada,9,99.4,2,89.2,15,91,94.4,96.4,,,,,,,,
7,RMIT University,https://www.timeshighereducation.com/world-university-rankings/rmit-university,Australia,10,92.1,8,83.7,11,87.4,98.5,96.4,,,,,,,,
9,Aalborg University,https://www.timeshighereducation.com/world-university-rankings/aalborg-university,Denmark,4,90.6,10,90.2,14,93.4,98.5,95.8,,,,,,,,
9,University of Victoria,https://www.timeshighereducation.com/world-university-rankings/university-victoria,Canada,11,91.8,13,89.4,12,88.4,91.9,95.8,,,,,,,,
