World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
1Top 0.1%,"Harvard University
  CWUR Rating System:   Education: A+; Employability: A+; Faculty: A+; Research: A+",USA,1,1,1,1,1,100
2Top 0.1%,"Massachusetts Institute of Technology
  Education: A+; Employability: A+; Faculty: A+; Research: A+",USA,2,4,12,3,9,96.7
3Top 0.1%,"Stanford University
  Education: A+; Employability: A+; Faculty: A+; Research: A+",USA,3,11,4,2,2,95.2
4Top 0.1%,"University of Cambridge
  Education: A+; Employability: A; Faculty: A+; Research: A+",United Kingdom,1,3,25,5,11,94.1
5Top 0.1%,"University of Oxford
  Education: A+; Employability: A; Faculty: A+; Research: A+",United Kingdom,2,7,27,9,4,93.3
6Top 0.1%,"Princeton University
  Education: A+; Employability: A; Faculty: A+; Research: A",USA,4,5,16,6,82,92.6
7Top 0.1%,"University of Chicago
  Education: A+; Employability: A; Faculty: A; Research: A",USA,5,8,15,22,28,92.1
8Top 0.1%,"Columbia University
  Education: A+; Employability: A; Faculty: A+; Research: A",USA,6,12,14,10,13,91.6
9Top 0.1%,"University of Pennsylvania
  Education: A; Employability: A+; Faculty: A; Research: A+",USA,7,14,8,45,12,91.2
10Top 0.1%,"Yale University
  Education: A+; Employability: A; Faculty: A; Research: A",USA,8,6,35,13,21,90.8
11Top 0.1%,"California Institute of Technology
  Education: A+; Employability: A; Faculty: A+; Research: A",USA,9,2,96,7,83,90.4
12Top 0.1%,"University of California, Berkeley
  Education: A+; Employability: A; Faculty: A+; Research: A",USA,10,9,59,4,16,90.1
13Top 0.1%,University of Tokyo,Japan,1,37,6,113,30,89.8
14Top 0.1%,Cornell University,USA,11,16,29,18,23,89.5
15Top 0.1%,Northwestern University,USA,12,99,17,31,31,89.3
16Top 0.1%,"University of Michigan, Ann Arbor",USA,13,32,40,62,7,89.1
17Top 0.1%,Johns Hopkins University,USA,14,22,192,20,8,88.8
18Top 0.1%,"University of California, Los Angeles",USA,15,31,63,16,15,88.6
19Top 0.1%,University College London,United Kingdom,3,35,664,14,5,88.4
20Top 0.1%,Duke University,USA,16,58,49,19,24,88.2
21Top 0.2%,PSL University,France,1,17,31,111,91,88.0
22Top 0.2%,University of Illinois at Urbana–Champaign,USA,17,19,143,11,74,87.9
23Top 0.2%,University of Toronto,Canada,1,233,163,23,3,87.7
24Top 0.2%,New York University,USA,18,40,45,47,46,87.5
25Top 0.2%,University of Washington,USA,19,74,227,25,10,87.4
26Top 0.2%,McGill University,Canada,2,25,109,36,45,87.2
27Top 0.2%,Kyoto University,Japan,2,38,32,64,79,87.1
28Top 0.2%,University of Wisconsin–Madison,USA,20,36,102,30,41,87.0
29Top 0.2%,Imperial College London,United Kingdom,4,68,123,55,18,86.8
30Top 0.2%,ETH Zurich,Switzerland,1,64,88,24,42,86.7
31Top 0.2%,Seoul National University,South Korea,1,299,22,154,57,86.6
32Top 0.2%,Paris-Saclay University,France,2,152,137,46,14,86.4
33Top 0.2%,"University of California, San Diego",USA,21,128,1520,12,22,86.3
34Top 0.2%,University of Texas at Austin,USA,22,92,64,17,63,86.2
35Top 0.2%,University of Copenhagen,Denmark,1,96,379,41,26,86.1
36Top 0.2%,"University of California, San Francisco",USA,23,-,1554,15,27,86.0
37Top 0.2%,University of North Carolina at Chapel Hill,USA,24,76,92,71,39,85.9
38Top 0.2%,Karolinska Institute,Sweden,1,39,-,35,62,85.8
39Top 0.2%,Paris City University,France,3,254,958,60,17,85.7
40Top 0.2%,King's College London,United Kingdom,5,51,505,28,53,85.6
41Top 0.2%,Sorbonne University,France,4,103,324,92,19,85.5
42Top 0.3%,Dartmouth College,USA,25,45,18,107,286,85.4
43Top 0.3%,Washington University in St. Louis,USA,26,106,144,37,48,85.3
44Top 0.3%,Tsinghua University,China,1,346,56,-,20,85.2
45Top 0.3%,Institut Polytechnique de Paris,France,5,102,9,188,370,85.1
46Top 0.3%,Ludwig Maximilian University of Munich,Germany,1,56,254,57,52,85.0
47Top 0.3%,University of Minnesota - Twin Cities,USA,27,78,318,84,34,84.9
48Top 0.3%,University of Edinburgh,United Kingdom,6,55,473,63,49,84.9
49Top 0.3%,Peking University,China,2,369,58,-,25,84.8
50Top 0.3%,University of Manchester,United Kingdom,7,89,417,33,56,84.7
51Top 0.3%,University of British Columbia,Canada,3,109,554,87,35,84.6
52Top 0.3%,"University of California, Davis",USA,28,87,526,54,54,84.5
53Top 0.3%,University of Southern California,USA,29,252,133,29,75,84.5
54Top 0.3%,Pennsylvania State University,USA,30,297,171,56,55,84.4
55Top 0.3%,University of Chinese Academy of Sciences,China,3,-,1304,-,6,84.3
56Top 0.3%,Vanderbilt University,USA,31,392,89,65,71,84.2
57Top 0.3%,University of Melbourne,Australia,1,142,411,130,33,84.2
58Top 0.3%,Free University of Berlin,Germany,2,80,1123,44,76,84.1
59Top 0.3%,Humboldt University of Berlin,Germany,3,85,1532,50,69,84.0
60Top 0.3%,Ohio State University,USA,32,129,294,133,40,84.0
61Top 0.3%,Rockefeller University,USA,33,13,-,8,460,83.9
62Top 0.4%,Rutgers University,USA,34,230,150,27,95,83.8
63Top 0.4%,University of Zurich,Switzerland,2,90,578,58,72,83.8
64Top 0.4%,Brown University,USA,35,75,55,121,138,83.7
65Top 0.4%,Purdue University,USA,36,94,91,75,114,83.6
66Top 0.4%,University of Colorado Boulder,USA,37,153,169,52,97,83.6
67Top 0.4%,Georgia Institute of Technology,USA,38,313,165,26,115,83.5
68Top 0.4%,Heidelberg University,Germany,4,135,1012,83,60,83.5
69Top 0.4%,"Texas A&M University, College Station",USA,39,-,129,72,85,83.4
70Top 0.4%,Hebrew University of Jerusalem,Israel,1,29,346,39,195,83.3
71Top 0.4%,University of Virginia,USA,40,358,37,176,137,83.3
72Top 0.4%,Utrecht University,Netherlands,1,180,481,161,43,83.2
73Top 0.4%,University of Texas Southwestern Medical Center,USA,41,41,-,42,167,83.2
74Top 0.4%,Shanghai Jiao Tong University,China,4,-,140,-,29,83.1
75Top 0.4%,University of Pittsburgh,USA,42,234,208,267,38,83.0
76Top 0.4%,University of Alberta,Canada,4,327,488,67,88,83.0
77Top 0.4%,Uppsala University,Sweden,2,97,412,70,105,82.9
78Top 0.4%,Technical University of Munich,Germany,5,81,368,144,77,82.9
79Top 0.4%,"University of Maryland, College Park",USA,43,122,387,152,68,82.8
80Top 0.4%,University of Amsterdam,Netherlands,2,239,689,201,44,82.8
81Top 0.4%,National University of Singapore,Singapore,1,365,181,-,37,82.7
82Top 0.4%,"University of California, Irvine",USA,44,393,1229,34,110,82.7
83Top 0.5%,University of Oslo,Norway,1,121,798,79,94,82.6
84Top 0.5%,University of Birmingham,United Kingdom,8,50,486,170,103,82.6
85Top 0.5%,Zhejiang University,China,5,-,351,-,32,82.5
86Top 0.5%,University of Florida,USA,45,326,426,139,65,82.5
87Top 0.5%,Weizmann Institute of Science,Israel,2,24,-,51,289,82.4
88Top 0.5%,Leiden University,Netherlands,3,124,1068,77,100,82.4
89Top 0.5%,Fudan University,China,6,353,93,-,59,82.3
90Top 0.5%,Boston University,USA,46,428,111,200,80,82.3
91Top 0.5%,University of Rochester,USA,47,65,70,132,185,82.2
92Top 0.5%,University of Sydney,Australia,2,198,627,-,36,82.2
93Top 0.5%,University of Bristol,United Kingdom,9,186,430,78,99,82.1
94Top 0.5%,Erasmus University Rotterdam,Netherlands,4,535,68,270,89,82.1
95Top 0.5%,University of Arizona,USA,48,498,237,73,107,82.1
96Top 0.5%,École Polytechnique Fédérale de Lausanne,Switzerland,3,-,83,112,124,82.0
97Top 0.5%,University of Göttingen,Germany,6,44,369,104,162,82.0
98Top 0.5%,"University of California, Santa Barbara",USA,49,211,535,21,156,81.9
99Top 0.5%,Carnegie Mellon University,USA,50,70,113,40,223,81.9
100Top 0.5%,Osaka University,Japan,3,145,74,124,147,81.8
101Top 0.5%,Aarhus University,Denmark,2,228,296,134,87,81.8
102Top 0.5%,National Taiwan University,Taiwan,1,336,41,-,134,81.8
103Top 0.6%,Keio University,Japan,4,519,13,-,397,81.7
104Top 0.6%,University of New South Wales,Australia,3,551,120,-,64,81.7
105Top 0.6%,University of Queensland,Australia,4,419,669,243,47,81.6
106Top 0.6%,University of Groningen,Netherlands,5,271,586,140,81,81.6
107Top 0.6%,KU Leuven,Belgium,1,537,414,249,50,81.6
108Top 0.6%,University of Leeds,United Kingdom,10,132,458,53,139,81.5
109Top 0.6%,University of São Paulo,Brazil,1,497,381,156,78,81.5
110Top 0.6%,University of Geneva,Switzerland,4,72,480,103,132,81.4
111Top 0.6%,University of Basel,Switzerland,5,60,305,82,164,81.4
112Top 0.6%,University of Texas MD Anderson Cancer Center,USA,51,-,-,88,98,81.4
113Top 0.6%,University of Tübingen,Germany,7,52,926,99,154,81.3
114Top 0.6%,Indiana University Bloomington,USA,52,251,94,178,119,81.3
115Top 0.6%,University of Bonn,Germany,8,73,494,86,145,81.2
116Top 0.6%,Sapienza University of Rome,Italy,1,455,502,101,106,81.2
117Top 0.6%,University of Utah,USA,53,302,202,135,111,81.2
118Top 0.6%,Nagoya University,Japan,5,67,211,59,210,81.1
119Top 0.6%,University of Science and Technology of China,China,7,-,261,-,58,81.1
120Top 0.6%,INSEAD,France,6,-,2,-,1710,81.1
121Top 0.6%,Monash University,Australia,5,-,532,-,51,81.0
122Top 0.6%,University of Montreal,Canada,5,461,517,126,101,81.0
123Top 0.6%,Sun Yat-sen University,China,8,-,334,-,61,80.9
124Top 0.7%,Ghent University,Belgium,2,345,558,196,86,80.9
125Top 0.7%,University of Southampton,United Kingdom,11,454,293,115,117,80.9
126Top 0.7%,University of Helsinki,Finland,1,200,788,164,93,80.8
127Top 0.7%,Huazhong University of Science and Technology,China,9,-,167,-,73,80.8
128Top 0.7%,Australian National University,Australia,6,171,518,80,140,80.8
129Top 0.7%,University of Glasgow,United Kingdom,12,133,397,141,123,80.7
130Top 0.7%,University of Freiburg,Germany,9,91,230,100,166,80.7
131Top 0.7%,Emory University,USA,54,469,270,-,70,80.7
132Top 0.7%,Baylor College of Medicine,USA,55,93,-,159,126,80.6
