Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
1,Harvard University,1,100.0,http://www.shanghairanking.com/_uni/logo/032bd1b77.png,http://www.shanghairanking.com/institution/harvard-university
2,Stanford University,2,76.8,http://www.shanghairanking.com/_uni/logo/13de8913b.png,http://www.shanghairanking.com/institution/stanford-university
3,Massachusetts Institute of Technology (MIT),3,70.1,http://www.shanghairanking.com/_uni/logo/79165fd8b.png,http://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit
4,University of Cambridge,1,69.6,http://www.shanghairanking.com/_uni/logo/8d9861b69.png,http://www.shanghairanking.com/institution/university-of-cambridge
5,"University of California, Berkeley",4,65.3,http://www.shanghairanking.com/_uni/logo/0ff179fb8.png,http://www.shanghairanking.com/institution/university-of-california-berkeley
6,Princeton University,5,60.0,http://www.shanghairanking.com/_uni/logo/b1dad5288.png,http://www.shanghairanking.com/institution/princeton-university
7,University of Oxford,2,58.7,http://www.shanghairanking.com/_uni/logo/c1d967477.png,http://www.shanghairanking.com/institution/university-of-oxford
8,Columbia University,6,57.2,http://www.shanghairanking.com/_uni/logo/ce3421720.png,http://www.shanghairanking.com/institution/columbia-university
9,California Institute of Technology,7,56.1,http://www.shanghairanking.com/_uni/logo/c956f3d98.png,http://www.shanghairanking.com/institution/california-institute-of-technology
10,University of Chicago,8,55.1,http://www.shanghairanking.com/_uni/logo/b4f6eec47.png,http://www.shanghairanking.com/institution/university-of-chicago
11,Yale University,9,53.2,http://www.shanghairanking.com/_uni/logo/5c6f4b7f6.png,http://www.shanghairanking.com/institution/yale-university
12,Cornell University,10,50.4,http://www.shanghairanking.com/_uni/logo/e6c9fdb3e.png,http://www.shanghairanking.com/institution/cornell-university
13,"University of California, Los Angeles",11,50.2,http://www.shanghairanking.com/_uni/logo/27bdc3879.png,http://www.shanghairanking.com/institution/university-of-california-los-angeles
14,Johns Hopkins University,12,47.9,http://www.shanghairanking.com/_uni/logo/6a65dac86.png,http://www.shanghairanking.com/institution/johns-hopkins-university
15,University of Pennsylvania,13,47.5,http://www.shanghairanking.com/_uni/logo/9cdff1ab0.png,http://www.shanghairanking.com/institution/university-of-pennsylvania
16,Paris-Saclay University,1,47.0,http://www.shanghairanking.com/_uni/logo/98e838fa6.png,http://www.shanghairanking.com/institution/paris-saclay-university
17,University of Washington,14,46.8,http://www.shanghairanking.com/_uni/logo/e37a45f2d.png,http://www.shanghairanking.com/institution/university-of-washington
18,University College London,3,46.6,http://www.shanghairanking.com/_uni/logo/9f3188b58.png,http://www.shanghairanking.com/institution/university-college-london
19,"University of California, San Francisco",15,45.9,http://www.shanghairanking.com/_uni/logo/5d107d88e.png,http://www.shanghairanking.com/institution/university-of-california-san-francisco
20,ETH Zurich,1,45.6,http://www.shanghairanking.com/_uni/logo/690aaf016.png,http://www.shanghairanking.com/institution/eth-zurich
